source,n_vars,n_clauses,ratio,temps,satisfiable
random,5,20,4.0,0.0,False
random,5,20,4.0,0.0,False
random,5,20,4.0,0.0,False
random,5,20,4.0,0.0,False
random,5,20,4.0,0.0,False
random,5,20,4.0,0.0,False
random,5,20,4.0,0.0,False
random,5,20,4.0,0.0,False
random,5,20,4.0,0.0,False
random,10,40,4.0,0.0,False
random,10,40,4.0,0.0,False
random,10,40,4.0,0.0009999275207519531,False
random,10,40,4.0,0.0,False
random,10,40,4.0,0.0,False
random,10,40,4.0,0.0,False
random,10,40,4.0,0.0,False
random,10,40,4.0,0.0,False
random,10,40,4.0,0.0,False
random,10,40,4.0,0.0,False
random,15,60,4.0,0.0010023117065429688,False
random,15,60,4.0,0.0,False
random,15,60,4.0,0.0,False
random,15,60,4.0,0.0,False
random,15,60,4.0,0.00099945068359375,False
random,15,60,4.0,0.0,False
random,15,60,4.0,0.0010004043579101562,False
random,15,60,4.0,0.0,False
random,15,60,4.0,0.0,False
random,15,60,4.0,0.0,False
random,20,80,4.0,0.0,False
random,20,80,4.0,0.0030007362365722656,False
random,20,80,4.0,0.0009968280792236328,False
random,20,80,4.0,0.0,False
random,20,80,4.0,0.0010027885437011719,False
random,20,80,4.0,0.0,False
random,20,80,4.0,0.0,False
random,20,80,4.0,0.0,False
random,20,80,4.0,0.0009970664978027344,False
random,20,80,4.0,0.0,False
random,25,100,4.0,0.0010039806365966797,False
random,25,100,4.0,0.0,False
random,25,100,4.0,0.0,False
random,25,100,4.0,0.004999399185180664,False
random,25,100,4.0,0.0009989738464355469,False
random,25,100,4.0,0.0009999275207519531,False
random,25,100,4.0,0.0,False
random,25,100,4.0,0.0,False
random,25,100,4.0,0.0,False
random,25,100,4.0,0.0010004043579101562,False
random,30,120,4.0,0.002001523971557617,False
random,30,120,4.0,0.0,False
random,30,120,4.0,0.0,False
random,30,120,4.0,0.0010004043579101562,False
random,30,120,4.0,0.0009992122650146484,False
random,30,120,4.0,0.0,False
random,30,120,4.0,0.0010013580322265625,False
random,30,120,4.0,0.0030107498168945312,False
random,30,120,4.0,0.015525341033935547,False
random,30,120,4.0,0.0,False
random,35,140,4.0,0.0015616416931152344,False
random,35,140,4.0,0.0,False
random,35,140,4.0,0.0016007423400878906,False
random,35,140,4.0,0.0010383129119873047,False
random,35,140,4.0,0.0,False
random,35,140,4.0,0.0,False
random,35,140,4.0,0.002000093460083008,False
random,35,140,4.0,0.0,False
random,35,140,4.0,0.004998683929443359,False
random,35,140,4.0,0.0,False
random,40,160,4.0,0.0029997825622558594,False
random,40,160,4.0,0.0009703636169433594,False
random,40,160,4.0,0.002999544143676758,False
random,40,160,4.0,0.0010111331939697266,False
random,40,160,4.0,0.0,False
random,40,160,4.0,0.0,False
random,40,160,4.0,0.0,False
random,40,160,4.0,0.0010023117065429688,False
random,40,160,4.0,0.0,False
random,40,160,4.0,0.0009996891021728516,False
