filename,variables,clauses,ratio_clauses_vars,naive_result,naive_time,naive_nodes,moms_result,moms_time,moms_nodes,cdcl_result,cdcl_time,cdcl_nodes
2bitcomp_5.cnf,125,310,2.48,TIMEOUT,30.0,,TIMEOUT,30.0,,SAT,0.05,5835
2bitmax_6.cnf,252,766,3.0396825396825395,TIMEOUT,30.0,,TIMEOUT,30.0,,SAT,0.68,38169
generated_sat_006.cnf,38,161,4.2368421052631575,TIMEOUT,30.0,,TIMEOUT,30.0,,SAT,0.01,3612
generated_sat_009.cnf,58,247,4.258620689655173,TIMEOUT,30.0,,TIMEOUT,30.0,,SAT,0.13,22749
generated_sat_010.cnf,65,276,4.246153846153846,TIMEOUT,30.0,,TIMEOUT,30.0,,UNSAT,28.92,5000000
generated_sat_012.cnf,78,332,4.256410256410256,TIMEOUT,30.0,,TIMEOUT,30.0,,SAT,0.35,52553
generated_sat_013.cnf,85,362,4.258823529411765,TIMEOUT,30.0,,TIMEOUT,30.0,,SAT,5.32,706913
generated_sat_014.cnf,92,391,4.25,TIMEOUT,30.0,,TIMEOUT,30.0,,UNSAT,39.88,5000000
generated_sat_015.cnf,99,421,4.252525252525253,TIMEOUT,30.0,,TIMEOUT,30.0,,SAT,6.8,816750
generated_sat_016.cnf,105,447,4.257142857142857,TIMEOUT,30.0,,TIMEOUT,30.0,,UNSAT,43.62,5000000
generated_sat_017.cnf,112,477,4.258928571428571,TIMEOUT,30.0,,TIMEOUT,30.0,,UNSAT,47.1,5000000
generated_sat_018.cnf,119,506,4.2521008403361344,TIMEOUT,30.0,,TIMEOUT,30.0,,SAT,6.2,588652
generated_sat_019.cnf,126,536,4.253968253968254,TIMEOUT,30.0,,TIMEOUT,30.0,,SAT,8.87,825776
generated_sat_020.cnf,132,562,4.257575757575758,TIMEOUT,30.0,,TIMEOUT,30.0,,UNSAT,56.65,5000000
generated_sat_021.cnf,139,592,4.258992805755396,TIMEOUT,30.0,,TIMEOUT,30.0,,UNSAT,59.58,5000000
generated_sat_022.cnf,146,621,4.2534246575342465,TIMEOUT,30.0,,TIMEOUT,30.0,,UNSAT,62.92,5000000
generated_sat_023.cnf,152,647,4.256578947368421,TIMEOUT,30.0,,TIMEOUT,30.0,,SAT,3.02,222191
generated_sat_024.cnf,159,677,4.2578616352201255,TIMEOUT,30.0,,TIMEOUT,30.0,,UNSAT,72.56,5000000
generated_sat_025.cnf,166,707,4.259036144578313,TIMEOUT,30.0,,TIMEOUT,30.0,,UNSAT,71.98,5000000
generated_sat_026.cnf,173,736,4.254335260115607,TIMEOUT,30.0,,TIMEOUT,30.0,,UNSAT,76.1,5000000
generated_sat_027.cnf,179,762,4.256983240223463,TIMEOUT,30.0,,TIMEOUT,30.0,,UNSAT,73.11,5000000
generated_sat_028.cnf,186,792,4.258064516129032,TIMEOUT,30.0,,TIMEOUT,30.0,,UNSAT,79.35,5000000
generated_sat_029.cnf,193,822,4.259067357512953,TIMEOUT,30.0,,TIMEOUT,30.0,,UNSAT,84.92,5000000
generated_sat_030.cnf,200,852,4.26,TIMEOUT,30.0,,TIMEOUT,30.0,,UNSAT,84.58,5000000
